Designator,Mid X,Mid Y,Rotation,Layer
C1,107.823,-98.425,90.0,top
C10,111.125,-102.235,0.0,top
C11,109.347,-98.425,90.0,top
C12,114.046,-114.935,0.0,top
C13,111.208,-83.82,270.0,top
C14,105.156,-112.141,270.0,top
C15,99.822,-112.141,90.0,top
C16,146.877,-88.011,0.0,top
C17,152.465,-97.295,270.0,top
C18,151.195,-96.746,270.0,top
C2,105.537,-99.441,90.0,top
C20,121.031,-89.535,270.0,top
C21,132.715,-85.725,270.0,top
C3,107.061,-110.109,270.0,top
C4,110.617,-99.441,90.0,top
C5,106.553,-99.441,90.0,top
C6,100.457,-102.235,180.0,top
C7,100.457,-105.918,180.0,top
C8,106.045,-110.109,270.0,top
C9,112.268,-105.918,0.0,top
D1,140.868763,-59.598832,240.0,top
D2,142.518541,-60.551332,240.0,top
D3,144.168319,-61.503832,240.0,top
D4,148.765389,-125.073283,120.0,top
D5,150.305182,-124.184283,120.0,top
D6,151.844976,-123.295284,120.0,top
D7,94.361,-89.408,0.0,top
D8,94.361,-91.186,0.0,top
D9,94.361,-92.964,0.0,top
J1,126.365,-93.345,0.0,top
J10,130.175,-84.455,0.0,top
J11,130.175,-86.995,0.0,top
J12,126.365,-84.455,0.0,top
J13,126.365,-86.995,0.0,top
J2,126.365,-90.805,0.0,top
J3,118.745,-106.68,0.0,top
J4,126.365,-95.885,0.0,top
J5,126.365,-98.425,0.0,top
J6,130.175,-93.345,0.0,top
J7,130.175,-90.805,0.0,top
J8,130.175,-95.885,0.0,top
J9,130.175,-98.425,0.0,top
MK1,143.702,-84.836,0.0,top
R1,114.427,-116.205,180.0,top
R10,96.901,-91.186,180.0,top
R11,96.901,-92.964,180.0,top
R12,121.285,-93.853,90.0,top
R13,122.809,-93.853,90.0,top
R2,139.598763,-61.798537,60.0,top
R3,141.24854,-62.751038,60.0,top
R4,142.898319,-63.703537,60.0,top
R5,147.495389,-122.873579,300.0,top
R6,149.035183,-121.984578,300.0,top
R7,143.702,-89.281,90.0,top
R8,150.574977,-121.095578,300.0,top
R9,96.901,-89.408,180.0,top
RV2,146.877,-104.521,0.0,top
SW1,110.49,-120.015,0.0,top
TP1,150.052,-84.201,0.0,top
TP5,140.527,-96.266,0.0,top
U1,106.001,-85.344,270.0,top
U2,105.7825,-104.835,90.0,top
U4,146.877,-98.171,270.0,top
U5,116.711,-90.927,270.0,top
Y1,102.489,-112.141,180.0,top
