Designator,Footprint,Quantity,Value,LCSC Part #
"C1_4, C1_3, C1_2, C1, C11_4, C11_3, C11_2, C11, C21_4, C21_3, C21_2, C21",0603,12,2u2,C23630
"C10_4, C10_3, C10_2, C10, C13_4, C13_3, C13_2, C13, C2_4, C2_3, C2_2, C2, C20_4, C20_3, C20_2, C20, C3_4, C3_3, C3_2, C3, C4_4, C4_3, C4_2, C4, C5_4, C5_3, C5_2, C5, C6_4, C6_3, C6_2, C6, C7_4, C7_3, C7_2, C7, C8_4, C8_3, C8_2, C8, C9_4, C9_3, C9_2, C9",0402,44,100n,C1525
"C14_4, C14_3, C14_2, C14, C15_4, C15_3, C15_2, C15",0402,8,33p,C1562
"C16_4, C16_3, C16_2, C16",0805,4,10u,C440198
"C17_4, C17_3, C17_2, C17",0805,4,1n,C46653
"D1_4, D1_3, D1_2, D1, D4_4, D4_3, D4_2, D4, D7_4, D7_3, D7_2, D7",0603,12,red,C2286
"D2_4, D2_3, D2_2, D2, D5_4, D5_3, D5_2, D5, D8_4, D8_3, D8_2, D8",0603,12,green,C84264
"D3_4, D3_3, D3_2, D3, D6_4, D6_3, D6_2, D6, D9_4, D9_3, D9_2, D9",0603,12,blue,C965807
"J3_4, J3_3, J3_2, J3",FTSH-105-01-F-DV-K,4,CortexDebug10,C3975188
"KiKit_FID_B_1, KiKit_FID_B_2, KiKit_FID_B_3, KiKit_FID_T_1, KiKit_FID_T_2, KiKit_FID_T_3",Fiducial,6,Fiducial,
"KiKit_MB_10_2, KiKit_MB_10_3, KiKit_MB_10_4, KiKit_MB_11_1, KiKit_MB_11_2, KiKit_MB_11_3, KiKit_MB_11_4, KiKit_MB_12_1, KiKit_MB_12_2, KiKit_MB_12_3, KiKit_MB_12_4, KiKit_MB_13_1, KiKit_MB_13_2, KiKit_MB_13_3, KiKit_MB_13_4, KiKit_MB_14_1, KiKit_MB_14_2, KiKit_MB_14_3, KiKit_MB_14_4, KiKit_MB_15_2, KiKit_MB_15_3, KiKit_MB_15_4, KiKit_MB_16_1, KiKit_MB_16_2, KiKit_MB_16_3, KiKit_MB_16_4, KiKit_MB_17_1, KiKit_MB_17_2, KiKit_MB_17_3, KiKit_MB_17_4, KiKit_MB_18_1, KiKit_MB_18_2, KiKit_MB_18_3, KiKit_MB_18_4, KiKit_MB_19_1, KiKit_MB_19_2, KiKit_MB_19_3, KiKit_MB_19_4, KiKit_MB_1_1, KiKit_MB_1_2, KiKit_MB_1_3, KiKit_MB_1_4, KiKit_MB_20_2, KiKit_MB_20_3, KiKit_MB_20_4, KiKit_MB_2_1, KiKit_MB_2_2, KiKit_MB_2_3, KiKit_MB_2_4, KiKit_MB_3_1, KiKit_MB_3_2, KiKit_MB_3_3, KiKit_MB_3_4, KiKit_MB_4_1, KiKit_MB_4_2, KiKit_MB_4_3, KiKit_MB_4_4, KiKit_MB_5_2, KiKit_MB_5_3, KiKit_MB_5_4, KiKit_MB_6_1, KiKit_MB_6_2, KiKit_MB_6_3, KiKit_MB_6_4, KiKit_MB_7_1, KiKit_MB_7_2, KiKit_MB_7_3, KiKit_MB_7_4, KiKit_MB_8_1, KiKit_MB_8_2, KiKit_MB_8_3, KiKit_MB_8_4, KiKit_MB_9_1, KiKit_MB_9_2, KiKit_MB_9_3, KiKit_MB_9_4, KiKit_TO_1, KiKit_TO_2, KiKit_TO_3, KiKit_TO_4",NPTH,80,NPTH,
"MK1_4, MK1_3, MK1_2, MK1",B4013AM422-42,4,Goertek B4013AM422-42,C233793
"Q1_4, Q1_3, Q1_2, Q1",SOT-23,4,S8050,C2146
"R10_4, R10_3, R10_2, R10, R2_4, R2_3, R2_2, R2, R3_4, R3_3, R3_2, R3, R5_4, R5_3, R5_2, R5, R6_4, R6_3, R6_2, R6, R9_4, R9_3, R9_2, R9",0402,24,220,C25091
"R11_4, R11_3, R11_2, R11, R4_4, R4_3, R4_2, R4, R8_4, R8_3, R8_2, R8",0402,12,120,C25079
"R12_4, R12_3, R12_2, R12, R13_4, R13_3, R13_2, R13",0603,8,4k7,C23162
"R14_4, R14_3, R14_2, R14",0402,4,470,C25117
"R15_4, R15_3, R15_2, R15, R7_4, R7_3, R7_2, R7",0402,8,2k2,C25879
"R16_4, R16_3, R16_2, R16",0603,4,100k,C25741
"R17_4, R17_3, R17_2, R17",0603,4,82k,C23254
"R18_4, R18_3, R18_2, R18",0603,4,20k,C4184
"U1_4, U1_3, U1_2, U1",SOIC-8_5.275x5.275mm_P1.27mm,4,W25Q128JVS,C97521
"U2_4, U2_3, U2_2, U2",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,4,RP2040,C2040
"U5_4, U5_3, U5_2, U5",SOIC-8_3.9x4.9mm_P1.27mm,4,M24C02-WMN,C7562
"Y1_4, Y1_3, Y1_2, Y1",Crystal_SMD_3225-4Pin_3.2x2.5mm,4,X322512MSB4SI,C9002
